Time(ms),I2C_CLK,I2C,UART,PWM,DHT11,SPI_CLK,SPI,CS
1.033,--,ADDRW:68,,,,,,
1.322,--,DATAW:00,,,,,,
2.217,--,ADDRR:68,,,,,,
2.397,--,DATAR:25,,,,,,
2.601,--,DATAR:22,,,,,,
3.064,--,DATAR:15,,,,,,
16.788,,,Time: 15:22:25,,,,,
1197.676,153.8k,ADDRW:68,,,,,,
1197.880,153.8k,DATAW:00,,,,,,
1197.995,153.8k,ADDRR:68,,,,,,
1198.474,153.8k,DATAR:26,,,,,,
1198.664,153.8k,DATAR:22,,,,,,
1199.068,153.8k,DATAR:15,,,,,,
1218.092,,,Time: 15:22:26,,,,,
2405.582,142.9k,ADDRW:68,,,,,,
2406.198,142.9k,DATAW:00,,,,,,
2406.362,142.9k,ADDRR:68,,,,,,
2406.826,142.9k,DATAR:27,,,,,,
2407.059,142.9k,DATAR:22,,,,,,
2407.465,142.9k,DATAR:15,,,,,,
2413.746,,,Time: 15:22:27,,,,,
3603.929,153.8k,ADDRW:68,,,,,,
3604.157,153.8k,DATAW:00,,,,,,
3604.289,153.8k,ADDRR:68,,,,,,
3604.601,153.8k,DATAR:29,,,,,,
3604.833,153.8k,DATAR:22,,,,,,
3609.465,153.8k,DATAR:15,,,,,,
3614.309,,,Time: 15:22:29,,,,,
4802.307,142.9k,ADDRW:68,,,,,,
4802.508,142.9k,DATAW:00,,,,,,
4811.950,222.2k,ADDRR:68,,,,,,
4812.574,222.2k,DATAR:30,,,,,,
4812.839,222.2k,DATAR:22,,,,,,
4813.240,222.2k,DATAR:15,,,,,,
4819.285,,,Time: 15:22:30,,,,,
6010.217,142.9k,ADDRW:68,,,,,,
6010.832,142.9k,DATAW:00,,,,,,
6011.002,142.9k,ADDRR:68,,,,,,
6011.448,142.9k,DATAR:31,,,,,,
6011.924,142.9k,DATAR:22,,,,,,
6012.314,142.9k,DATAR:15,,,,,,
6018.727,,,Time: 15:22:31,,,,,
7208.602,153.8k,ADDRW:68,,,,,,
7209.233,153.8k,DATAW:00,,,,,,
7209.458,153.8k,ADDRR:68,,,,,,
7209.844,153.8k,DATAR:32,,,,,,
7210.102,153.8k,DATAR:22,,,,,,
7210.527,153.8k,DATAR:15,,,,,,
7217.870,,,Time: 15:22:32,,,,,
8417.518,153.8k,ADDRW:68,,,,,,
8417.697,153.8k,DATAW:00,,,,,,
8417.773,153.8k,ADDRR:68,,,,,,
8417.826,153.8k,DATAR:33,,,,,,
8417.879,153.8k,DATAR:22,,,,,,
8421.409,153.8k,DATAR:15,,,,,,
8425.884,,,Time: 15:22:33,,,,,
9614.877,142.9k,ADDRW:68,,,,,,
9615.074,142.9k,DATAW:00,,,,,,
9615.181,142.9k,ADDRR:68,,,,,,
9615.394,142.9k,DATAR:35,,,,,,
9615.587,142.9k,DATAR:22,,,,,,
9615.774,142.9k,DATAR:15,,,,,,
9624.669,,,Time: 15:22:35,,,,,
10813.242,142.9k,ADDRW:68,,,,,,
10813.527,142.9k,DATAW:00,,,,,,
10813.690,142.9k,ADDRR:68,,,,,,
10813.770,142.9k,DATAR:36,,,,,,
10813.978,142.9k,DATAR:22,,,,,,
10814.159,142.9k,DATAR:15,,,,,,
10834.738,,,Time: 15:22:36,,,,,
12021.218,153.8k,ADDRW:68,,,,,,
12021.500,153.8k,DATAW:00,,,,,,
12021.714,153.8k,ADDRR:68,,,,,,
12021.836,153.8k,DATAR:37,,,,,,
12021.954,153.8k,DATAR:22,,,,,,
12022.170,153.8k,DATAR:15,,,,,,
12030.888,,,Time: 15:22:37,,,,,
13220.717,142.9k,ADDRW:68,,,,,,
13220.936,142.9k,DATAW:00,,,,,,
13221.106,142.9k,ADDRR:68,,,,,,
13221.227,142.9k,DATAR:38,,,,,,
13221.373,142.9k,DATAR:22,,,,,,
13221.520,142.9k,DATAR:15,,,,,,
13228.473,,,Time: 15:22:38,,,,,
14427.436,153.8k,ADDRW:68,,,,,,
14427.665,153.8k,DATAW:00,,,,,,
14427.819,153.8k,ADDRR:68,,,,,,
14427.932,153.8k,DATAR:39,,,,,,
14428.223,153.8k,DATAR:22,,,,,,
14428.622,153.8k,DATAR:15,,,,,,
14436.218,,,Time: 15:22:39,,,,,
15625.811,153.8k,ADDRW:68,,,,,,
15626.013,153.8k,DATAW:00,,,,,,
15626.121,153.8k,ADDRR:68,,,,,,
15626.316,153.8k,DATAR:41,,,,,,
15626.912,153.8k,DATAR:22,,,,,,
15627.398,153.8k,DATAR:15,,,,,,
15634.593,,,Time: 15:22:41,,,,,
16824.176,142.9k,ADDRW:68,,,,,,
16824.792,142.9k,DATAW:00,,,,,,
16825.119,142.9k,ADDRR:68,,,,,,
16825.483,142.9k,DATAR:42,,,,,,
16825.895,142.9k,DATAR:22,,,,,,
16826.113,142.9k,DATAR:15,,,,,,
16845.044,,,Time: 15:22:42,,,,,
18032.090,153.8k,ADDRW:68,,,,,,
18032.743,153.8k,DATAW:00,,,,,,
18032.917,153.8k,ADDRR:68,,,,,,
18033.423,153.8k,DATAR:43,,,,,,
18033.891,153.8k,DATAR:22,,,,,,
18034.144,153.8k,DATAR:15,,,,,,
18040.353,,,Time: 15:22:43,,,,,
19230.468,142.9k,ADDRW:68,,,,,,
19230.713,142.9k,DATAW:00,,,,,,
19231.182,142.9k,ADDRR:68,,,,,,
19231.338,142.9k,DATAR:44,,,,,,
19231.665,142.9k,DATAR:22,,,,,,
19231.813,142.9k,DATAR:15,,,,,,
19239.723,,,Time: 15:22:44,,,,,
